date,station,zipcode,value
2010-01-07,GHCND:USC00083163,33315,50
2010-01-10,GHCND:USC00446147,23502,-39
2010-01-12,GHCND:USC00413691,76051,-6
2010-01-16,GHCND:USC00502587,99685,28
2010-01-17,GHCND:USC00046572,93030,117
2010-01-19,GHCND:USC00500275,99502,-78
2010-01-19,GHCND:USC00245740,59808,-6
2010-01-22,GHCND:USC00516198,96720,100
2010-01-28,GHCND:USC00413691,76051,133
2010-01-29,GHCND:USC00142980,67846,-94
2010-01-30,GHCND:USC00083163,33315,206
2010-02-04,GHCND:USC00413943,78550,167
2010-02-15,GHCND:USC00083163,33315,106
2010-02-16,GHCND:USC00041194,91505,89
2010-02-26,GHCND:USC00516198,96720,139
2010-03-01,GHCND:USC00454769,98626,139
2010-03-02,GHCND:USC00516198,96720,78
2010-03-03,GHCND:USC00141699,67701,-22
2010-03-03,GHCND:USC00516198,96720,117
2010-03-05,GHCND:USC00088942,32780,44
2010-03-06,GHCND:USC00041194,91505,72
2010-03-09,GHCND:USC00183353,21701,-6
2010-03-10,GHCND:USC00454769,98626,94
2010-03-10,GHCND:USC00446147,23502,144
2010-03-12,GHCND:USC00412011,78406,144
2010-03-16,GHCND:USC00415891,79706,128
2010-03-25,GHCND:USC00083163,33315,172
2010-03-27,GHCND:USC00502107,99709,-150
2010-04-05,GHCND:USC00413691,76051,200
2010-04-07,GHCND:USC00446147,23502,222
2010-04-09,GHCND:USC00503605,99835,33
2010-04-09,GHCND:USC00158555,42086,94
2010-04-09,GHCND:USC00063207,06340,72
2010-04-10,GHCND:USC00413691,76051,133
2010-04-10,GHCND:USC00111577,60638,106
2010-04-11,GHCND:USC00111577,60638,89
2010-04-11,GHCND:USC00083163,33315,233
2010-04-13,GHCND:USC00168923,71282,156
2010-04-16,GHCND:USC00122731,47725,239
2010-04-19,GHCND:USC00413691,76051,106
2010-04-20,GHCND:USC00413691,76051,111
2010-04-20,GHCND:USC00413691,76051,111
2010-04-21,GHCND:USC00083163,33315,206
2010-04-21,GHCND:USC00413691,76051,144
2010-04-21,GHCND:USC00319100,27889,133
2010-04-22,GHCND:USC00111160,62206,139
2010-04-26,GHCND:USC00446147,23502,144
2010-04-27,GHCND:USC00041194,91505,89
2010-04-28,GHCND:USC00282805,08234,61
2010-04-28,GHCND:USC00478937,53188,11
2010-04-28,GHCND:USC00190593,01915,6
2010-04-29,GHCND:USC00413691,76051,167
2010-04-29,GHCND:USC00122731,47725,256
2010-04-30,GHCND:USC00111577,60638,189
2010-05-03,GHCND:USC00041194,91505,122
2010-05-03,GHCND:USC00262570,89801,50
2010-05-06,GHCND:USC00473268,54313,72
2010-05-07,GHCND:USC00083163,33315,239
2010-05-07,GHCND:USC00041194,91505,117
2010-05-09,GHCND:USC00111577,60638,83
2010-05-11,GHCND:USC00148847,67209,178
2010-05-12,GHCND:USC00413691,76051,233
2010-05-12,GHCND:USC00502107,99709,89
2010-05-12,GHCND:USC00413691,76051,233
2010-05-16,GHCND:USC00502107,99709,83
2010-05-18,GHCND:USC00478919,53094,100
2010-05-18,GHCND:USC00504812,99615,78
2010-05-19,GHCND:USC00413691,76051,217
2010-05-24,GHCND:USC00083163,33315,233
2010-05-24,GHCND:USC00421259,84721,6
2010-05-24,GHCND:USC00111160,62206,244
2010-01-07,GHCND:USC00083163,33315,50
2010-01-10,GHCND:USC00446147,23502,-39
2010-01-12,GHCND:USC00413691,76051,-6
2010-01-16,GHCND:USC00502587,99685,28
2010-01-17,GHCND:USC00046572,93030,117
2010-01-19,GHCND:USC00500275,99502,-78
2010-01-19,GHCND:USC00245740,59808,-6
2010-01-22,GHCND:USC00516198,96720,100
2010-01-28,GHCND:USC00413691,76051,133
2010-01-29,GHCND:USC00142980,67846,-94
2010-01-30,GHCND:USC00083163,33315,206
2010-02-04,GHCND:USC00413943,78550,167
2010-02-15,GHCND:USC00083163,33315,106
2010-02-16,GHCND:USC00041194,91505,89
2010-02-26,GHCND:USC00516198,96720,139
2010-03-01,GHCND:USC00454769,98626,139
2010-03-02,GHCND:USC00516198,96720,78
2010-03-03,GHCND:USC00141699,67701,-22
2010-03-03,GHCND:USC00516198,96720,117
2010-03-05,GHCND:USC00088942,32780,44
2010-03-06,GHCND:USC00041194,91505,72
2010-03-09,GHCND:USC00183353,21701,-6
2010-03-10,GHCND:USC00454769,98626,94
2010-03-10,GHCND:USC00446147,23502,144
2010-03-12,GHCND:USC00412011,78406,144
2010-03-16,GHCND:USC00415891,79706,128
2010-03-25,GHCND:USC00083163,33315,172
2010-03-27,GHCND:USC00502107,99709,-150
2010-04-05,GHCND:USC00413691,76051,200
2010-04-07,GHCND:USC00446147,23502,222
2010-04-09,GHCND:USC00503605,99835,33
2010-04-09,GHCND:USC00158555,42086,94
2010-04-09,GHCND:USC00063207,06340,72
2010-04-10,GHCND:USC00413691,76051,133
2010-04-10,GHCND:USC00111577,60638,106
2010-04-11,GHCND:USC00111577,60638,89
2010-04-11,GHCND:USC00083163,33315,233
2010-04-13,GHCND:USC00168923,71282,156
2010-04-16,GHCND:USC00122731,47725,239
2010-04-19,GHCND:USC00413691,76051,106
2010-04-20,GHCND:USC00413691,76051,111
2010-04-20,GHCND:USC00413691,76051,111
2010-04-21,GHCND:USC00083163,33315,206
2010-04-21,GHCND:USC00413691,76051,144
2010-04-21,GHCND:USC00319100,27889,133
2010-04-22,GHCND:USC00111160,62206,139
2010-04-26,GHCND:USC00446147,23502,144
2010-04-27,GHCND:USC00041194,91505,89
2010-04-28,GHCND:USC00282805,08234,61
2010-04-28,GHCND:USC00478937,53188,11
2010-04-28,GHCND:USC00190593,01915,6
2010-04-29,GHCND:USC00413691,76051,167
2010-04-29,GHCND:USC00122731,47725,256
2010-04-30,GHCND:USC00111577,60638,189
2010-05-03,GHCND:USC00041194,91505,122
2010-05-03,GHCND:USC00262570,89801,50
2010-05-06,GHCND:USC00473268,54313,72
2010-05-07,GHCND:USC00083163,33315,239
2010-05-07,GHCND:USC00041194,91505,117
2010-05-09,GHCND:USC00111577,60638,83
2010-05-11,GHCND:USC00148847,67209,178
2010-05-12,GHCND:USC00413691,76051,233
2010-05-12,GHCND:USC00502107,99709,89
2010-05-12,GHCND:USC00413691,76051,233
2010-05-16,GHCND:USC00502107,99709,83
2010-05-18,GHCND:USC00478919,53094,100
2010-05-18,GHCND:USC00504812,99615,78
2010-05-19,GHCND:USC00413691,76051,217
2010-05-24,GHCND:USC00083163,33315,233
2010-05-24,GHCND:USC00421259,84721,6
2010-05-24,GHCND:USC00111160,62206,244
2010-05-26,GHCND:USC00412793,79925,267
2010-05-28,GHCND:USC00122731,47725,300
2010-05-28,GHCND:USS0010D10S,59714,20
2010-06-01,GHCND:USC00516198,96720,94
2010-06-01,GHCND:USC00504812,99615,83
2010-06-03,GHCND:USC00516198,96720,150
2010-06-03,GHCND:USC00026796,86301,150
2010-06-03,GHCND:USC00413691,76051,228
2010-06-10,GHCND:USC00456789,99163,122
2010-06-10,GHCND:USC00183353,21701,200
2010-06-11,GHCND:USC00041194,91505,156
2010-06-13,GHCND:USC00054254,81137,78
2010-06-13,GHCND:USC00502107,99709,89
2010-06-14,GHCND:USC00111577,60638,161
2010-06-18,GHCND:USC00516198,96720,106
2010-06-20,GHCND:USC00111577,60638,206
2010-06-23,GHCND:USC00010425,36830,244
2010-06-24,GHCND:USC00516198,96720,150
2010-06-25,GHCND:USC00413691,76051,261
2010-06-26,GHCND:USC00111577,60638,250
2010-06-26,GHCND:USC00413691,76051,272
2010-07-01,GHCND:USC00413691,76051,239
2010-07-04,GHCND:USC00111577,60638,278
2010-07-05,GHCND:USC00413691,76051,256
2010-07-07,GHCND:USC00190593,01915,211
2010-07-07,GHCND:USC00446147,23502,250
2010-07-09,GHCND:USC00413691,76051,239
2010-07-09,GHCND:USC00504812,99615,94
2010-07-10,GHCND:USC00415891,79706,294
2010-07-14,GHCND:USC00482375,83001,178
2010-07-14,GHCND:USC00391076,57006,256
2010-07-15,GHCND:USC00256075,69101,150
2010-07-15,GHCND:USC00111577,60638,228
2010-07-16,GHCND:USC00111577,60638,244
2010-07-16,GHCND:USC00413691,76051,267
2010-07-17,GHCND:USC00143527,67601,278
2010-07-18,GHCND:USC00311677,27516,222
2010-07-19,GHCND:USC00516198,96720,89
2010-07-19,GHCND:USC00254335,68847,222
2010-07-20,GHCND:USC00480552,82604,94
2010-07-20,GHCND:USC00332791,45840,233
2010-07-21,GHCND:USC00083163,33315,278
2010-07-22,GHCND:USC00413691,76051,272
2010-07-22,GHCND:USC00413943,78550,244
2010-07-22,GHCND:USC00111577,60638,283
2010-07-22,GHCND:USC00456789,99163,211
2010-07-23,GHCND:USC00462920,26554,239
2010-07-23,GHCND:USC00190593,01915,156
2010-07-24,GHCND:USC00413691,76051,272
2010-07-24,GHCND:USC00041194,91505,150
2010-07-26,GHCND:USC00055236,80538,144
2010-07-27,GHCND:USC00082150,32114,278
2010-07-28,GHCND:USC00142980,67846,194
2010-07-30,GHCND:USC00304174,14850,122
2010-07-30,GHCND:USC00413691,76051,267
2010-07-31,GHCND:USC00464397,25704,206
2010-07-31,GHCND:USC00457941,99224,111
2010-07-31,GHCND:USC00446147,23502,228
2010-08-01,GHCND:USC00111577,60638,233
2010-08-03,GHCND:USC00111577,60638,261
2010-08-03,GHCND:USC00413691,76051,267
2010-08-04,GHCND:USC00210075,56007,228
2010-08-04,GHCND:USC00131319,52404,267
2010-08-04,GHCND:USC00413691,76051,283
2010-08-05,GHCND:USC00165296,70510,278
2010-08-05,GHCND:USC00082150,32114,261
2010-08-08,GHCND:USC00500310,99835,117
2010-08-09,GHCND:USC00190593,01915,200
2010-08-09,GHCND:USC00340312,73401,283
2010-08-10,GHCND:USC00446147,23502,283
2010-08-12,GHCND:USC00063207,06340,194
2010-08-16,GHCND:USC00111577,60638,211
2010-08-16,GHCND:USC00247560,59270,244
2010-08-18,GHCND:USC00516198,96720,144
2010-08-18,GHCND:USC00092159,31909,239
2010-08-19,GHCND:USC00413691,76051,261
2010-08-20,GHCND:USC00083163,33315,261
2010-08-20,GHCND:USC00428771,84074,306
2010-08-20,GHCND:USC00415701,78503,272
2010-08-22,GHCND:USC00082150,32114,267
2010-08-23,GHCND:USC00117077,62305,200
2010-08-23,GHCND:USC00514561,96754,261
2010-08-25,GHCND:USC00412011,78406,261
2010-08-26,GHCND:USC00144559,66044,161
2010-08-26,GHCND:USC00203858,49423,144
2010-08-27,GHCND:USC00243753,59404,122
2010-08-27,GHCND:USC00063207,06340,161
2010-08-28,GHCND:USC00413691,76051,217
2010-08-30,GHCND:USC00500275,99502,94
2010-08-31,GHCND:VQC00670480,00850,294
2010-08-31,GHCND:USC00413691,76051,267
2010-09-01,GHCND:USC00111577,60638,239
2010-09-02,GHCND:USC00413691,76051,211
2010-09-03,GHCND:USC00172623,04605,200
2010-09-03,GHCND:USC00228374,39759,233
2010-09-03,GHCND:USC00111577,60638,139
2010-09-03,GHCND:USC00415060,78041,250
2010-09-03,GHCND:USC00131319,52404,183
2010-09-03,GHCND:USC00111577,60638,139
2010-09-03,GHCND:USC00111577,60638,139
2010-09-03,GHCND:USC00111577,60638,139
2010-09-06,GHCND:USC00415618,75672,211
2010-09-07,GHCND:USC00481676,82001,144
2010-09-10,GHCND:USC00413691,76051,256
2010-09-10,GHCND:USC00243110,59501,100
2010-09-11,GHCND:USC00122731,47725,283
2010-09-12,GHCND:USC00083163,33315,256
2010-09-12,GHCND:USC00419417,76708,244
2010-09-14,GHCND:USC00412011,78406,278
2010-09-14,GHCND:USC00413691,76051,250
2010-09-15,GHCND:USC00334874,44903,189
2010-09-15,GHCND:USC00243753,59404,144
2010-09-15,GHCND:USC00413691,76051,222
2010-09-16,GHCND:USC00111577,60638,133
2010-09-16,GHCND:USC00334874,44903,139
2010-09-16,GHCND:USC00413691,76051,239
2010-09-17,GHCND:USC00221880,39701,250
2010-09-20,GHCND:USC00446147,23502,183
2010-09-21,GHCND:USC00026796,86301,128
2010-09-22,GHCND:USC00143218,67530,300
2010-09-23,GHCND:USC00446147,23502,250
2010-09-23,GHCND:USC00446147,23502,250
2010-09-23,GHCND:USC00082418,33040,272
2010-09-24,GHCND:USC00111577,60638,144
2010-09-24,GHCND:USC00415060,78041,261
2010-09-25,GHCND:USC00111577,60638,122
2010-09-25,GHCND:USC00415701,78503,206
2010-09-26,GHCND:USC00111577,60638,122
2010-09-29,GHCND:USC00413691,76051,144
2010-10-01,GHCND:USC00386153,29577,178
2010-10-01,GHCND:USC00041967,94520,267
2010-10-01,GHCND:USC00386153,29577,178
2010-10-01,GHCND:USC00083163,33315,211
2010-10-01,GHCND:USC00083163,33315,211
2010-10-03,GHCND:USC00111577,60638,61
2010-10-04,GHCND:USC00404561,38301,28
2010-10-04,GHCND:USC00516198,96720,156
2010-01-07,GHCND:USC00083163,33315,50
2010-01-10,GHCND:USC00446147,23502,-39
2010-01-12,GHCND:USC00413691,76051,-6
2010-01-16,GHCND:USC00502587,99685,28
2010-01-17,GHCND:USC00046572,93030,117
2010-01-19,GHCND:USC00500275,99502,-78
2010-01-19,GHCND:USC00245740,59808,-6
2010-01-22,GHCND:USC00516198,96720,100
2010-01-28,GHCND:USC00413691,76051,133
2010-01-29,GHCND:USC00142980,67846,-94
2010-01-30,GHCND:USC00083163,33315,206
2010-02-04,GHCND:USC00413943,78550,167
2010-02-15,GHCND:USC00083163,33315,106
2010-02-16,GHCND:USC00041194,91505,89
2010-02-26,GHCND:USC00516198,96720,139
2010-03-01,GHCND:USC00454769,98626,139
2010-03-02,GHCND:USC00516198,96720,78
2010-03-03,GHCND:USC00141699,67701,-22
2010-03-03,GHCND:USC00516198,96720,117
2010-03-05,GHCND:USC00088942,32780,44
2010-03-06,GHCND:USC00041194,91505,72
2010-03-09,GHCND:USC00183353,21701,-6
2010-03-10,GHCND:USC00454769,98626,94
2010-03-10,GHCND:USC00446147,23502,144
2010-03-12,GHCND:USC00412011,78406,144
2010-03-16,GHCND:USC00415891,79706,128
2010-03-25,GHCND:USC00083163,33315,172
2010-03-27,GHCND:USC00502107,99709,-150
2010-04-05,GHCND:USC00413691,76051,200
2010-04-07,GHCND:USC00446147,23502,222
2010-04-09,GHCND:USC00503605,99835,33
2010-04-09,GHCND:USC00158555,42086,94
2010-04-09,GHCND:USC00063207,06340,72
2010-04-10,GHCND:USC00413691,76051,133
2010-04-10,GHCND:USC00111577,60638,106
2010-04-11,GHCND:USC00111577,60638,89
2010-04-11,GHCND:USC00083163,33315,233
2010-04-13,GHCND:USC00168923,71282,156
2010-04-16,GHCND:USC00122731,47725,239
2010-04-19,GHCND:USC00413691,76051,106
2010-04-20,GHCND:USC00413691,76051,111
2010-04-20,GHCND:USC00413691,76051,111
2010-04-21,GHCND:USC00083163,33315,206
2010-04-21,GHCND:USC00413691,76051,144
2010-04-21,GHCND:USC00319100,27889,133
2010-04-22,GHCND:USC00111160,62206,139
2010-04-26,GHCND:USC00446147,23502,144
2010-04-27,GHCND:USC00041194,91505,89
2010-04-28,GHCND:USC00282805,08234,61
2010-04-28,GHCND:USC00478937,53188,11
2010-04-28,GHCND:USC00190593,01915,6
2010-04-29,GHCND:USC00413691,76051,167
2010-04-29,GHCND:USC00122731,47725,256
2010-04-30,GHCND:USC00111577,60638,189
2010-05-03,GHCND:USC00041194,91505,122
2010-05-03,GHCND:USC00262570,89801,50
2010-05-06,GHCND:USC00473268,54313,72
2010-05-07,GHCND:USC00083163,33315,239
2010-05-07,GHCND:USC00041194,91505,117
2010-05-09,GHCND:USC00111577,60638,83
2010-05-11,GHCND:USC00148847,67209,178
2010-05-12,GHCND:USC00413691,76051,233
2010-05-12,GHCND:USC00502107,99709,89
2010-05-12,GHCND:USC00413691,76051,233
2010-05-16,GHCND:USC00502107,99709,83
2010-05-18,GHCND:USC00478919,53094,100
2010-05-18,GHCND:USC00504812,99615,78
2010-05-19,GHCND:USC00413691,76051,217
2010-05-24,GHCND:USC00083163,33315,233
2010-05-24,GHCND:USC00421259,84721,6
2010-05-24,GHCND:USC00111160,62206,244
2010-05-26,GHCND:USC00412793,79925,267
2010-05-28,GHCND:USC00122731,47725,300
2010-05-28,GHCND:USS0010D10S,59714,20
2010-06-01,GHCND:USC00516198,96720,94
2010-06-01,GHCND:USC00504812,99615,83
2010-06-03,GHCND:USC00516198,96720,150
2010-06-03,GHCND:USC00026796,86301,150
2010-06-03,GHCND:USC00413691,76051,228
2010-06-10,GHCND:USC00456789,99163,122
2010-06-10,GHCND:USC00183353,21701,200
2010-06-11,GHCND:USC00041194,91505,156
2010-06-13,GHCND:USC00054254,81137,78
2010-06-13,GHCND:USC00502107,99709,89
2010-06-14,GHCND:USC00111577,60638,161
2010-06-18,GHCND:USC00516198,96720,106
2010-06-20,GHCND:USC00111577,60638,206
2010-06-23,GHCND:USC00010425,36830,244
2010-06-24,GHCND:USC00516198,96720,150
2010-06-25,GHCND:USC00413691,76051,261
2010-06-26,GHCND:USC00111577,60638,250
2010-06-26,GHCND:USC00413691,76051,272
2010-07-01,GHCND:USC00413691,76051,239
2010-07-04,GHCND:USC00111577,60638,278
2010-07-05,GHCND:USC00413691,76051,256
2010-07-07,GHCND:USC00190593,01915,211
2010-07-07,GHCND:USC00446147,23502,250
2010-07-09,GHCND:USC00413691,76051,239
2010-07-09,GHCND:USC00504812,99615,94
2010-07-10,GHCND:USC00415891,79706,294
2010-07-14,GHCND:USC00482375,83001,178
2010-07-14,GHCND:USC00391076,57006,256
2010-07-15,GHCND:USC00256075,69101,150
2010-07-15,GHCND:USC00111577,60638,228
2010-07-16,GHCND:USC00111577,60638,244
2010-07-16,GHCND:USC00413691,76051,267
2010-07-17,GHCND:USC00143527,67601,278
2010-07-18,GHCND:USC00311677,27516,222
2010-07-19,GHCND:USC00516198,96720,89
2010-07-19,GHCND:USC00254335,68847,222
2010-07-20,GHCND:USC00480552,82604,94
2010-07-20,GHCND:USC00332791,45840,233
2010-07-21,GHCND:USC00083163,33315,278
2010-07-22,GHCND:USC00413691,76051,272
2010-07-22,GHCND:USC00413943,78550,244
2010-07-22,GHCND:USC00111577,60638,283
2010-07-22,GHCND:USC00456789,99163,211
2010-07-23,GHCND:USC00462920,26554,239
2010-07-23,GHCND:USC00190593,01915,156
2010-07-24,GHCND:USC00413691,76051,272
2010-07-24,GHCND:USC00041194,91505,150
2010-07-26,GHCND:USC00055236,80538,144
2010-07-27,GHCND:USC00082150,32114,278
2010-07-28,GHCND:USC00142980,67846,194
2010-07-30,GHCND:USC00304174,14850,122
2010-07-30,GHCND:USC00413691,76051,267
2010-07-31,GHCND:USC00464397,25704,206
2010-07-31,GHCND:USC00457941,99224,111
2010-07-31,GHCND:USC00446147,23502,228
2010-08-01,GHCND:USC00111577,60638,233
2010-08-03,GHCND:USC00111577,60638,261
2010-08-03,GHCND:USC00413691,76051,267
2010-08-04,GHCND:USC00210075,56007,228
2010-08-04,GHCND:USC00131319,52404,267
2010-08-04,GHCND:USC00413691,76051,283
2010-08-05,GHCND:USC00165296,70510,278
2010-08-05,GHCND:USC00082150,32114,261
2010-08-08,GHCND:USC00500310,99835,117
2010-08-09,GHCND:USC00190593,01915,200
2010-08-09,GHCND:USC00340312,73401,283
2010-08-10,GHCND:USC00446147,23502,283
2010-08-12,GHCND:USC00063207,06340,194
2010-08-16,GHCND:USC00111577,60638,211
2010-08-16,GHCND:USC00247560,59270,244
2010-08-18,GHCND:USC00516198,96720,144
2010-08-18,GHCND:USC00092159,31909,239
2010-08-19,GHCND:USC00413691,76051,261
2010-08-20,GHCND:USC00083163,33315,261
2010-08-20,GHCND:USC00428771,84074,306
2010-08-20,GHCND:USC00415701,78503,272
2010-08-22,GHCND:USC00082150,32114,267
2010-08-23,GHCND:USC00117077,62305,200
2010-08-23,GHCND:USC00514561,96754,261
2010-08-25,GHCND:USC00412011,78406,261
2010-08-26,GHCND:USC00144559,66044,161
2010-08-26,GHCND:USC00203858,49423,144
2010-08-27,GHCND:USC00243753,59404,122
2010-08-27,GHCND:USC00063207,06340,161
2010-08-28,GHCND:USC00413691,76051,217
2010-08-30,GHCND:USC00500275,99502,94
2010-08-31,GHCND:VQC00670480,00850,294
2010-08-31,GHCND:USC00413691,76051,267
2010-09-01,GHCND:USC00111577,60638,239
2010-09-02,GHCND:USC00413691,76051,211
2010-09-03,GHCND:USC00172623,04605,200
2010-09-03,GHCND:USC00228374,39759,233
2010-09-03,GHCND:USC00111577,60638,139
2010-09-03,GHCND:USC00415060,78041,250
2010-09-03,GHCND:USC00131319,52404,183
2010-09-03,GHCND:USC00111577,60638,139
2010-09-03,GHCND:USC00111577,60638,139
2010-09-03,GHCND:USC00111577,60638,139
2010-09-06,GHCND:USC00415618,75672,211
2010-09-07,GHCND:USC00481676,82001,144
2010-09-10,GHCND:USC00413691,76051,256
2010-09-10,GHCND:USC00243110,59501,100
2010-09-11,GHCND:USC00122731,47725,283
2010-09-12,GHCND:USC00083163,33315,256
2010-09-12,GHCND:USC00419417,76708,244
2010-09-14,GHCND:USC00412011,78406,278
2010-09-14,GHCND:USC00413691,76051,250
2010-09-15,GHCND:USC00334874,44903,189
2010-09-15,GHCND:USC00243753,59404,144
2010-09-15,GHCND:USC00413691,76051,222
2010-09-16,GHCND:USC00111577,60638,133
2010-09-16,GHCND:USC00334874,44903,139
2010-09-16,GHCND:USC00413691,76051,239
2010-09-17,GHCND:USC00221880,39701,250
2010-09-20,GHCND:USC00446147,23502,183
2010-09-21,GHCND:USC00026796,86301,128
2010-09-22,GHCND:USC00143218,67530,300
2010-09-23,GHCND:USC00446147,23502,250
2010-09-23,GHCND:USC00446147,23502,250
2010-09-23,GHCND:USC00082418,33040,272
2010-09-24,GHCND:USC00111577,60638,144
2010-09-24,GHCND:USC00415060,78041,261
2010-09-25,GHCND:USC00111577,60638,122
2010-09-25,GHCND:USC00415701,78503,206
2010-09-26,GHCND:USC00111577,60638,122
2010-09-29,GHCND:USC00413691,76051,144
2010-10-01,GHCND:USC00386153,29577,178
2010-10-01,GHCND:USC00041967,94520,267
2010-10-01,GHCND:USC00386153,29577,178
2010-10-01,GHCND:USC00083163,33315,211
2010-10-01,GHCND:USC00083163,33315,211
2010-10-03,GHCND:USC00111577,60638,61
2010-10-04,GHCND:USC00404561,38301,28
2010-10-04,GHCND:USC00516198,96720,156
2010-10-08,GHCND:USC00313638,27834,106
2010-10-11,GHCND:USC00148847,67209,122
2010-10-11,GHCND:USC00084625,34741,167
2010-10-11,GHCND:USC00111577,60638,139
2010-10-12,GHCND:USC00445204,20110,144
2010-10-14,GHCND:USC00083163,33315,239
2010-10-14,GHCND:USW00013766,27954,183
2010-10-15,GHCND:USC00190593,01915,111
2010-10-18,GHCND:USW00093914,75803,172
2010-10-19,GHCND:USC00041194,91505,156
2010-10-20,GHCND:USC00083163,33315,217
2010-10-21,GHCND:USC00111577,60638,50
2010-10-21,GHCND:USC00144695,67901,100
2010-10-24,GHCND:USC00148847,67209,133
2010-10-26,GHCND:USC00415701,78503,222
2010-10-26,GHCND:USC00041194,91505,128
2010-10-27,GHCND:USW00013766,27954,250
2010-10-27,GHCND:USC00226177,39120,244
2010-10-28,GHCND:USC00111577,60638,39
2010-10-28,GHCND:USC00504991,99615,44
2010-10-29,GHCND:USC00083163,33315,233
2010-10-30,GHCND:USC00083163,33315,250
2010-10-30,GHCND:USC00445204,20110,17
2010-10-31,GHCND:USC00190593,01915,78
2010-11-01,GHCND:USC00083163,33315,239
2010-11-02,GHCND:USC00041194,91505,133
2010-11-03,GHCND:USC00183353,21701,-22
2010-11-03,GHCND:USC00046646,94303,94
2010-11-03,GHCND:USC00211891,56716,33
2010-11-04,GHCND:USC00221738,38732,72
2010-11-05,GHCND:USC00083163,33315,206
2010-11-09,GHCND:USC00500657,99901,17
2010-11-12,GHCND:USC00413691,76051,189
2010-11-15,GHCND:USC00413691,76051,67
2010-11-16,GHCND:USC00242104,59901,11
2010-11-19,GHCND:USC00132999,50501,11
2010-11-21,GHCND:USC00422173,84078,-33
2010-11-23,GHCND:USC00088942,32780,167
2010-11-30,GHCND:USC00107208,83204,-61
2010-12-02,GHCND:USC00083163,33315,111
2010-12-04,GHCND:USC00413691,76051,89
2010-12-07,GHCND:USC00413691,76051,17
2010-12-08,GHCND:USC00083163,33315,33
2010-12-11,GHCND:USC00083163,33315,128
2010-12-11,GHCND:USC00041194,91505,100
2010-12-16,GHCND:USC00413691,76051,44
2010-12-18,GHCND:USC00043256,93727,117
2010-12-22,GHCND:USC00446147,23502,22
2010-12-24,GHCND:USC00083163,33315,106
2010-12-25,GHCND:USC00111577,60638,-6
2010-12-25,GHCND:USC00083163,33315,150
2010-12-28,GHCND:USC00086078,34104,11
2010-12-30,GHCND:USC00421144,84083,-67
